AÑO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2026;03;12;Castellón/Castelló;084;Onda;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;25-44;6
2026;03;03;Alicante/Alacant;083;Xixona/Jijona;I ;INDUSTRIA;3;Técnicos, profesionales de apoyo;M;Mujer;25-44;2
2026;03;46;Valencia/València;135;Godella;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;12
2026;03;46;Valencia/València;250;València;I ;INDUSTRIA;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;18
2026;03;03;Alicante/Alacant;122;Sant Vicent del Raspeig/San Vicente del Raspeig;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;18
2026;03;46;Valencia/València;202;Pobla de Vallbona, la;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;2
2026;03;46;Valencia/València;077;Buñol;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;<25  ;8
2026;03;46;Valencia/València;011;Alberic;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;25-44;15
2026;03;46;Valencia/València;205;Puçol;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;4
2026;03;46;Valencia/València;015;Alcàsser;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;>44  ;1
2026;03;46;Valencia/València;009;Albalat dels Sorells;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;H;Hombre;<25  ;3
2026;03;03;Alicante/Alacant;013;Algueña;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;1
2026;03;12;Castellón/Castelló;009;Almassora;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;18
2026;03;03;Alicante/Alacant;121;Santa Pola;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;12
2026;03;03;Alicante/Alacant;101;Pedreguer;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;1
